timestamp,title,price,market,surface,location,remote_support,lighting,advertiser_type,description,no_of_rooms,form_of_property,url,is_for_sale,posting_id
"2024-08-05 00:00:00.000","3 pok. na os.Dolnośląskim w dobrej lokalizacji","365000","[""market"",""secondary""]","69","Bełchatów, bełchatowski, łódzkie","","","private","Sprzedam 3 pokojowe mieszkanie położone na os. Dolnośląskim (I etap) niedaleko ronda.
Mieszkanie ma powierzchnię 69m², położone jest na III piętrze w niskim punktowcu.

W mieszkaniu na podłogach panele i płytki, okna plastikowe, na ścianach gładzie.
Kuchnia po remoncie  z zabudową na wymiar oraz urządzeniami AGD - zmywarka, kuchenka, piekarnik.W łazience duża kabina prysznicowa.
W przedpokoju dwie pojemne szafy.

Mieszkanie bardzo dobrze położone. Blisko sklepy, szkoła, przedszkole, lokale usługowe, centrum miasta.
Blok ocieplony, klatka schodowa będzie remontowana.

Zapraszam do oglądania.
",3,"pełna własność","https://www.otodom.pl/pl/oferta/3-pok-na-os-dolnoslaskim-w-dobrej-lokalizacji-ID4qYgW",true,"4qYgW"
"2024-08-05 00:00:00.000","Nowe; Klimatyzacja; brak Pcc!","1245000","[""market"",""secondary""]","94","ul. Zygmunta Wojciechowskiego, Piątkowo, Poznań, wielkopolskie","","","agency","Mieszkanie nowo wykończone pod klucz położone na 11 piętrze, z okien rozpościera się widok na zachodnią panoramę miasta. Przy zakupie nie ma podatku PCC!Mieszkanie składa się z:- pokoju dziennego z aneksem kuchennym. W części dziennej zamontowana jest klimatyzacja- 3 niezależne pokoje- 2 łazienki; jedna z wanną, druga z prysznicem- pomieszczenia gospodarczego/garderobyDodatkowym atutem są dwa balkony: loggia na całej długości salonu oraz mniejszy balkon wychodzącego z jednej z sypialni. Mieszkanie zostało wyposażone w pełni w biały montaż, zabudowę meblową w korytarzu, sypialni, salonie oraz kuchni (zmywarka, lodówka, piekarnik, płyta indukcyjna, okap)Do lokalu przynależą dwa miejsca postojowe w hali garażowe w cenie 90 000 zł. Teren inwestycji jest zamknięty, monitorowany i objęty ochroną. W budynku zainstalowano 4 cichobieżne windy, zaprojektowano dwupoziomową halę garażową ze stanowiskami do ładowania samochodów elektrycznych, pomieszczenia na przechowywanie rowerów i wózków oraz schowki lokatorskie. Obok budynku przewidziano naziemny parking. Na parterze przewidziano powierzchnię na lokale usługowe. Inwestycja jest przystosowana do potrzeb osób niepełnosprawnych.W okolicy budynku dostępne są liczne punkty handlowe (supermarkety spożywcze Biedronka ― 150 metrów i Aldi ― 800 metrów, centra handlowe Galeria Arkada ― 800 metrów, Poznań Plaza ― 950 metrów, Galeria Pestka i sklep Makro Cash&Carry ― 1,3 kilometra, liczne sklepy ogólnospożywcze i wielobranżowe, targowiska), placówki pocztowe i bankowe, lecznice weterynaryjne, park Czarnieckiego, salony fryzjerskie i spa, szkoły artystyczne.W promieniu 1 kilometra położone są ośrodki edukacyjne: szkoła podstawowa im. Jana Pawła II, zespół szkół podstawowych nr 7, przedszkole nr 148 Mali Europejczycy, żłobek i przedszkole Pozytywnego Rozwoju i inne.Więcej ofert znajdą Państwo na naszej stronie internetowej  vanderhaus pl_Agencja VanDer Haus Nieruchomości za zrealizowaną usługę pośrednictwa w najmie/nabyciu nieruchomości pobiera wynagrodzenie wg cennika dostępnego na stronie internetowej biura. _Przedstawiona oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu Art. 66 par.1 Kodeksu Cywilnego. Treść ogłoszenia oparta na informacjach podanych przez właściciela nieruchomości.Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",4,"pełna własność","https://www.otodom.pl/pl/oferta/nowe-klimatyzacja-brak-pcc-ID4qCt4",true,"4qCt4"
"2024-08-05 00:00:00.000","Nowe domy z garażem i ogródkiem - 125 m2","955000","[""market"",""primary""]","125","ul. Tretówka, Sidzina, Kraków, małopolskie","true","","developer","Etap II osiedla to dom dwulokalowy o podwyższonym standardzie. Całość zaprojektowana z dbałością o wygodne i funkcjonalne użytkowanie.

Prezentowany domy to wyjątkowa oferta dla osób szukających przestrzeni i komfortu. Dom wybudowany jest z wysokiej jakości materiałów, wyposażony w nowoczesną instalację wentylacji mechanicznej z odzyskiem ciepła i wilgoci, ogrzewanie podłogowe oraz pompę ciepła. Nieruchomość o powierzchni 125 m2 składa się z dwóch kondygnacji – parteru i poddasza użytkowego.

Na parterze znajduje się przestronny salon z dużym, przesuwnym oknem i wyjściem na ogródek, kuchnia z jadalnią, toaleta, wiatrołap, schowek oraz garaż.

Poddasze użytkowe posiada wysoką ścianę kolankową - 1,5m i składa się z trzech sypialni w tym jednej „dla rodziców” z prywatną łazienką i garderobą, drugiej łazienki głównej, gabinetu, a także kotłowni.
Budynek posiada również stryszek, który może służyć jako dodatkowa przestrzeń do przechowywania różnych rzeczy.

Przestronny ogródek i przestrzeń wokół domu nadaje się idealnie do relaksu i wypoczynku całej rodziny. Wokół nieruchomości znajduje się istniejąca zabudowa jednorodzinna oraz dużo zieleni.

W okolicy znajdują się mniejsze i większe sklepy, szkoła, przedszkola, restauracje. Niewątpliwym atutem jest również bliskość Centrum Sportu Sidzina i przystanku Szybkiej Kolei Aglomeracyjnej.

Osiedle znajduje się z dala od ruchliwych ulic, a ukształtowanie terenu i okolicznej zabudowy zapewnia spokój jak i ciszę. Dogodne położenie w pobliżu obwodnicy umożliwia łatwy dostęp do wszystkich atrakcji Krakowa, a także innych części Polski np. w góry. Blisko stąd też do terenów zielonych i rekreacyjnych jak Lasy Tynieckie, Kolna, czy Uroczysko Skotniki, gdzie można spacerować, uprawiać sport i relaksować się na świeżym powietrzu.

Działka objęta obowiązującym MPZP, w którym określona jest jako MN2 - zabudowa jednorodzinna, ze szczególną dbałością o powierzchnię aktywną biologicznie (zieloną).

W skrócie, ta nieruchomość jest idealna dla rodziny szukającej komfortowego i nowoczesnego domu w spokojnej i bezpiecznej okolicy, blisko centrum miasta.

Wszystkie zapytania o szczegóły proszę kierować pod nr tel. 570 400 358.
______________Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 par. 1 Kodeksu Cywilnego oraz innych właściwych przepisów prawnych.",5,"","https://www.otodom.pl/pl/oferta/nowe-domy-z-garazem-i-ogrodkiem-125-m2-ID4osTu",true,"4osTu"
"2024-08-05 00:00:00.000","bezpośrednio sprzedam kawalerkę","560000","[""market"",""secondary""]","33.62","ul. Turmoncka, Bródno-Podgrodzie, Warszawa, mazowieckie","","","private","Sprzedam gotowe do wprowadzenia mieszkanie jednopokojowe na Bródnie (przy pętli autobusowej Bródno Podgrodzie). Miejsce dobrze skomunikowane, liczne linie autobusowe, bliskość metra (do metra Kondratowicza ok 15 min pieszo). W pobliżu szkoła, przedszkole, apteka, sieć sklepów i lokali usługowych. Mieszkanie o powierzchni 33,62 mkw znajduje się na 2 piętrze 7-piętrowego budynku z 2001 r. W budynku jest winda.Składa się z 1 pokoju z balkonem, oddzielnej, widnej kuchni, łazienki i przedpokoju z garderobą. Mieszkanie jest wyposażone i umeblowane. Dostępne od zaraz, odświeżone, ciche. Ekspozycja okien na wschód.Do mieszkania przynależy miejsce postojowe w garażu podziemnym dodatkowo płatne 35 000, którego zakup nie jest obligatoryjny.
Proszę o kontakt po godz. 16-tej.Tel. 695 103 401Pośrednikom dziękuję za współpracę.",1,"pełna własność","https://www.otodom.pl/pl/oferta/bezposrednio-sprzedam-kawalerke-ID4qYdt",true,"4qYdt"
"2024-08-05 00:00:00.000","3 pokoje + kuchnia! po remoncie, blisko centrum!","830000","[""market"",""secondary""]","56.19","ul. Józefa Narzymskiego, Olsza, Kraków, małopolskie","","","private","Sprzedajemy wyjątkowe mieszkanie o powierzchni 56 m² po generalnym remoncie, z nową instalacją, podłogami i wykończeniem, zlokalizowane przy osiedlu oficerskim, w centrum Krakowa.
Mieszkanie usytuowane jest w spokojnej, bezpiecznej i pełnej zieleni okolicy, oferując doskonałą komunikację i łatwy dojazd. W pobliżu znajdują się dwie szkoły, w tym jedna mistrzostwa sportowego z basenem i świetną infrastrukturą, a także młodzieżowy dom kultury, liczne place zabaw, tereny zielone, obiekty sportowe oraz rzeka.
Do mieszkania przynależy piwnica, a w budynku są dodatkowe pomieszczenia gospodarcze, takie jak suszarnia i wózkownia. Mieszkańcy mają dostępne bezpłatne miejsce parkingowe tuż przed budynkiem.
Zapraszamy do osobistego obejrzenia tej nieruchomości.Mieszkanie ma 3 osobne pokoje i wydzieloną kuchnię, doskonale nada się dla rodziny z dziećmi lub pod inwestycję czy wynajem na pokoje.
Sprzedaż bezpośrednia, nie współpracujemy z pośrednikami.
Więcej informacji udzielę telefonicznie.",3,"pełna własność","https://www.otodom.pl/pl/oferta/3-pokoje-kuchnia-po-remoncie-blisko-centrum-ID4quOK",true,"4quOK"
"2024-08-05 00:00:00.000","Piękne 2 pokoje PIERWSZE PIĘTRO z balkonem","350000","[""market"",""secondary""]","33","ul. Wincentego Kadłubka, Dąbrowa, Łódź, łódzkie","","","private","SPRZEDAŻ BEZPOŚREDNIA !!! Jeśli oglądasz na OLX to na OTODOM jest więcej zdjęć.

Witamy kolejnym przedmiotem sprzedaży jest mieszkanie położone w Łodzi, ul. Kadłubka (osiedle Dąbrowa) Lokal składa się z salonu z aneksem kuchennym i nie zależnym wejściem do sypialni, łazienki z WC o łącznej powierzchni 32,50 m2. Mieszkanie znajduję się na pierwszym piętrze z windą i posiada balkon. Z przedmiotowym lokalem związane jest prawo do wyłącznego korzystania z komórki lokatorskiej.

W mieszkaniu wstawiono nowe drzwi wejściowe oraz wewnętrzne. Okna PCV. Na ścianach gładź, pełna zabudowa gipsowa, oświetlenie halogenowe. Na podłogach w przedpokoju, łazience z WC oraz części kuchennej gres, w salonie i sypialni panele klasa ścieralności AC4. Została również wymieniona instalacja elektryczna, sanitarno-hydrauliczna.

W przedpokoju znajduje się pojemna szafka na buty i wieszak na odzież wierzchnią.

Salon pomieści stół z krzesłami, kanapę i inne mebelki. Mieszkanie posiada sypialnie gdzie została zrobiona szafa pod wymiar.

Aneks kuchenny
Meble kuchenne zrobione pod wymiar przez stolarza na cichym domyku z granitowym zlewozmywakiem. Kuchnia wyposażona jest we wszystkie niezbędne sprzęty AGD:

płyta indukcyjna
piekarnik
okap
lodówka
zmywarka

Wszystkie sprzęty są nowe i posiadają gwarancję.

Przestronna łazienka z WC
W łazience znajduje się kabina prysznicowa, umywalka oraz lustro z dodatkowym oświetleniem, dzięki któremu łazienka jest bardzo jasna. W łazience zostało przewidziane miejsce na pełnowymiarową pralkę !!!

Klatka schodowa czysta, zadbana :) Mieszkańcy bloku uprzejmi, wyrozumiali świadczy o tym fakt, że przez cały okres remontu nie mieliśmy ani jednej pretensji, skargi na trwający remont !!!

Lokalizacja mieszkania jest bardzo dobrze skomunikowana z resztą miasta.

W pobliżu przystanki

dworzec kolejowy: Łódź Dąbrowa
autobusowe linii: 55B, 92A, 92B, F1, N6, W, 69A, 69B, 72A, 72B, N8, 70, 71A, 71B, 75A, 75B, 
tramwajowe linii: 2, 14

Blok położony jest blisko punktów handlowo - usługowych, sklepy spożywcze, liczne markety, poczta, apteka, rynek, przychodnie.

Mieszkanie pełna własność z KSIĘGĄ WIECZYSTĄ. Mieszkanie nie wymaga dodatkowych nakładów finansowych. Nie jest obciążone żadnym kredytem.

CENA: 350 000 zł

NISKI CZYNSZ: 331 zł + woda i śmieci według zużycia

Jesteśmy elastyczni czasowo i na pewno dopasujemy się do dnia i godziny zaproponowanej przez Ciebie. Od 2012 roku prowadzimy działalność gospodarczą działającą w branży nieruchomości, kupując od nas mieszkanie NIE POBIERAMY PROWIZJI. Jesteśmy w stałej współpracy ze stolarzem oraz osobami, które przeprowadzały remont w mieszkaniu w związku z tym po zakupie mieszkania jesteśmy w stałym kontakcie, nie znikamy!

Oferujemy pomoc w sprawach:

kredytowych
przy wyborze notariusza
ubezpieczenia mieszkania

Serdecznie zapraszam do kontaktu pod nr telefonu 881 653 123 celu umówienia spotkania bądź dodatkowych pytań.",2,"pełna własność","https://www.otodom.pl/pl/oferta/piekne-2-pokoje-pierwsze-pietro-z-balkonem-ID4qY9C",true,"4qY9C"
"2024-08-05 00:00:00.000","Nowe domy z garażem i ogródkiem - 125 m2","1025000","[""market"",""primary""]","125","ul. Tretówka, Sidzina, Kraków, małopolskie","true","","developer","Etap II osiedla to dom dwulokalowy o podwyższonym standardzie. Całość zaprojektowana z dbałością o wygodne i funkcjonalne użytkowanie.

Prezentowany domy to wyjątkowa oferta dla osób szukających przestrzeni i komfortu. Dom wybudowany jest z wysokiej jakości materiałów, wyposażony w nowoczesną instalację wentylacji mechanicznej z odzyskiem ciepła i wilgoci, ogrzewanie podłogowe oraz pompę ciepła. Nieruchomość o powierzchni 125 m2 składa się z dwóch kondygnacji – parteru i poddasza użytkowego.

Na parterze znajduje się przestronny salon z dużym, przesuwnym oknem i wyjściem na ogródek, kuchnia z jadalnią, toaleta, wiatrołap, schowek oraz garaż.

Poddasze użytkowe posiada wysoką ścianę kolankową - 1,5m i składa się z trzech sypialni w tym jednej „dla rodziców” z prywatną łazienką i garderobą, drugiej łazienki głównej, gabinetu, a także kotłowni.
Budynek posiada również stryszek, który może służyć jako dodatkowa przestrzeń do przechowywania różnych rzeczy.

Przestronny ogródek i przestrzeń wokół domu nadaje się idealnie do relaksu i wypoczynku całej rodziny. Wokół nieruchomości znajduje się istniejąca zabudowa jednorodzinna oraz dużo zieleni.

W okolicy znajdują się mniejsze i większe sklepy, szkoła, przedszkola, restauracje. Niewątpliwym atutem jest również bliskość Centrum Sportu Sidzina i przystanku Szybkiej Kolei Aglomeracyjnej.

Osiedle znajduje się z dala od ruchliwych ulic, a ukształtowanie terenu i okolicznej zabudowy zapewnia spokój jak i ciszę. Dogodne położenie w pobliżu obwodnicy umożliwia łatwy dostęp do wszystkich atrakcji Krakowa, a także innych części Polski np. w góry. Blisko stąd też do terenów zielonych i rekreacyjnych jak Lasy Tynieckie, Kolna, czy Uroczysko Skotniki, gdzie można spacerować, uprawiać sport i relaksować się na świeżym powietrzu.

Działka objęta obowiązującym MPZP, w którym określona jest jako MN2 - zabudowa jednorodzinna, ze szczególną dbałością o powierzchnię aktywną biologicznie (zieloną).

W skrócie, ta nieruchomość jest idealna dla rodziny szukającej komfortowego i nowoczesnego domu w spokojnej i bezpiecznej okolicy, blisko centrum miasta.

Wszystkie zapytania o szczegóły proszę kierować pod nr tel. 570 400 358.
______________Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 par. 1 Kodeksu Cywilnego oraz innych właściwych przepisów prawnych.",5,"","https://www.otodom.pl/pl/oferta/nowe-domy-z-garazem-i-ogrodkiem-125-m2-ID4osgn",true,"4osgn"
"2024-08-05 00:00:00.000","Mieszkanie z potencjałem w kamienicy do remontu","550000","[""market"",""secondary""]","100.25","Centrum, Bydgoszcz, kujawsko-pomorskie","","","agency","OPIS OFERTY:Na sprzedaż przestronne mieszkanie na drugim piętrze w kamienicy. Kamienica znajduje się na bydgoskim Śr&oacute;dmieściu. Blisko dworca PKP. W pobliżu autobusy i tramwaje. Oferta idealna na inwestycję.Układ pozwala na podział na dwa lub trzy mniejsze mieszkania.  UKŁAD MIESZKANIA:Mieszkanie o powierzchni 100,25 m2. Mieszkanie składa się z: - 3 pokoi, - kuchni,  - łazienki,  - WC, - korytarza. Do mieszkania przynależy spora piwnica - 11 m2. STANDARD:Mieszkanie do generalnego remontu. Klatka schodowa była remontowana w lutym tego roku. BUDYNEK:Kamienica wybudowana w 1935 roku. Wsp&oacute;lnota mieszkaniowa.LOKALIZACJA:Mieszkanie znajduje się na bydgoskim Śr&oacute;dmieściu. W pobliżu dworzec kolejowy, wiele punkt&oacute;w handlowo - usługowych. Świetnie skomunikowana część miasta z kt&oacute;rej z łatwością można dostać się w dogodną lokalizację. Dobry dojazd do Myślęcinka. INFORMACJE DODATKOWE:Mieszkanie wolne od zaraz. Do mieszkania przynależy piwnica. Czynsz wynosi około 880 zł. Zapraszam na prezentację! ",3,"pełna własność","https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-w-kamienicy-do-remontu-ID4qw5V",true,"4qw5V"
"2024-08-05 00:00:00.000","Nowe dwupokojowe mieszkanie w spokojnej okolicy!","318000","[""market"",""primary""]","43","Nowy Tomyśl, nowotomyski, wielkopolskie","","","private","Nowa inwestycja Glinno (Nowy Tomyśl) przy ulicy Nagietkowej 2 obejmuje minimalistyczny 3-piętrowy budynek położony w cichej i spokojnej okolicy.

 W inwestycji znajduje je się 29 mieszkań o metrażach od 27-70mkw i układach 1-,2-,3- i 4 pokojowych. 
Do mieszkań przynależą ogródki i balkony. 
Na terenie osiedla zaplanowano również miejsca postojowe naziemne, rowerowymi oraz wózkarnię. Zapraszamy do kontaktu osoby zainteresowane innymi metrażami mieszkań.",2,"pełna własność","https://www.otodom.pl/pl/oferta/nowe-dwupokojowe-mieszkanie-w-spokojnej-okolicy-ID4quXv",true,"4quXv"
"2024-08-05 00:00:00.000","Mieszkanie na sprzedaż ulica Kamińskiego","330000","[""market"",""secondary""]","43.2","Harcmistrza Aleksandra Kamińskiego, Śródmieście, Łódź, łódzkie","","","agency","Na sprzedaż 2 pokojowe mieszkanie o powierzchni 43,20 m², mieszczące się na parterze w czteropiętrowej kamienicy, w świetnej lokalizacji, z miejscem parkingowym na posesji, z bliskim dostępem do komunikacji miejskiej.Mieszkanie znajduje się w samym sercu Łodzi, w dzielnicy Śródmieście, przy ulicy KamińskiegoW okolicy Nieruchomości znajdują się Uniwersytet Łódzki, Liceum Ogólnokształcące nr. VIII, Liceum Ogólnokształcące nr XII, Szkoła Podstawowa nr I, Przedszkole Miejskie,4 minuty spacerem do sklepu LIDL i Biedronka.W niedalekiej odległości Park im. Stanisława Staszica, 10 minut pieszo do Teatru Wielkiego, Filharmonii, Teatru Muzycznego, Biblioteki Miejskiej, Szpitala oraz Przychodni.Mieszkanie składa się z dwóch pokoi (salon, sypialnia), kuchni, łazienki z WC oraz przedpokoju.Kuchnia bardzo widna, z dużymi oknami, Łazienka wyposażona w wolnostojącą wannę, umywalkę oraz WC. W oknach rolety antywłamaniowe, w mieszkaniu wymieniona instalacja.Cisza, spokój a jednocześnie w samym sercu Łodzi, mieszkanie wykończone w stylu prowansalskim, bardzo słoneczne, na posesji zadbane podwórko ładnie zagospodarowane z dużą ilością zieleni, ogrodzone, zamykane bramą automatyczną.  Mieszkanie ze względu na swoją doskonałą lokalizację świetnie sprawdzi się zarówno dla młodych ludzi, pary jak i singla. Może być również zakupione w celach inwestycyjnych pod najem, ze względu na jego bardzo dobrą lokalizację i miejsce parkingowe na terenie posesji.Koszty administracyjne ok 450 zł plus gaz, prąd wg zużycia.Zapraszam do kontaktu po więcej informacji oraz w celu umówienia się na wspólną prezentację mieszkania.W przypadku tej oferty wynagrodzenie naszego biura pokrywa właściciel nieruchomości. Opis oferty zawarty na stronie internetowej sporządzany jest na podstawie oględzin nieruchomości oraz informacji uzyskanych od właściciela, może podlegać aktualizacji i nie stanowi oferty określonej w art. 66 i następnych K.C.Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",2,"pełna własność","https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-ulica-kaminskiego-ID4riRs",true,"4riRs"
